"Komisi","SKPD","Kegiatan","Perubahan.Baru","PembahasanDPRD.Tambah.P","PembahasanDPRD.Kurang.P","PembahasanDPRD.Baru.P"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Upgrade PABX Kantor Walikota Jakarta Timur","NA","1350000000","NA","1350000000"
"A","Kantor Kesatuan Bangsa dan Politik - JAKPUS","Aktualisasi Pemda dalam membangun semangat kebangsaan","NA","300000000","NA","300000000"
"A","Kantor Kesatuan Bangsa dan Politik - JAKPUS","Dialog Lintas Agama Generasi Muda Membangun Toleransi dan harmonisasi dalam kemajemukan","NA","300000000","NA","300000000"
"A","Kantor Kesatuan Bangsa dan Politik - JAKPUS","Penguatan Manajemen Ormas dan OKP","NA","300000000","NA","300000000"
"A","Kantor Kesatuan Bangsa dan Politik - JAKPUS","Peningkatan Kesadaran Kerukunan Hidup Antar Etnis dan Harmonisasi dalam Kemajemukan","NA","300000000","NA","300000000"
"A","Kantor Kesatuan Bangsa dan Politik - JAKPUS","Peningkatan Pemahaman dan implementasi UU No.17 Tahun 2013 bagi Pengurus Ormas dan LSM","NA","300000000","NA","300000000"
"A","Kecamatan Cakung - JAKTIM","Gelar Produk Unggulan Tingkat Kecamatan Cakung","NA","185000000","NA","185000000"
"A","Kecamatan Cakung - JAKTIM","Komunikasi, Edukasi dan Informasi (KIE) Dunia Kerja kepada Lulusan SLTA di Wilayah Kecamatan","NA","90000000","NA","90000000"
"A","Kecamatan Cakung - JAKTIM","Monitoring Pelaksanaan PSN di Wilayah Kecamatan Cakung","NA","45000000","NA","45000000"
"A","Kecamatan Cakung - JAKTIM","Pembangunan Jalan Orang di Kelurahan Jatinegara","NA","100000000","NA","100000000"
"A","Kecamatan Cakung - JAKTIM","Pembinaan Generasi Muda di Wilayah Kecamatan Cakung","NA","190000000","NA","190000000"
"A","Kecamatan Cakung - JAKTIM","Pembinaan Keluarga Berencana di Wilayah Kecamatan Cakung","NA","85000000","NA","85000000"
"A","Kecamatan Cakung - JAKTIM","Pembinaan Seni dan Kreatifitas dalam meningkatkan Ekonomi Kreatif se-Kecamatan Cakung","NA","180000000","NA","180000000"
"A","Kecamatan Cakung - JAKTIM","Pembuatan Saluran Air RT.002 RW 03 Kel. Rawa Terate","NA","100000000","NA","100000000"
"A","Kecamatan Cakung - JAKTIM","Pembuatan Septitank Kantor Kecamatan Cakung","NA","65000000","NA","65000000"
"A","Kecamatan Cakung - JAKTIM","Pembuatan dan Penataan Ruang dan Lingkungan Kantor Kecamatan Cakung ","NA","172000000","NA","172000000"
"A","Kecamatan Cakung - JAKTIM","Pemeilharaan saluran air RW 016 kel. Pulo Gebang","NA","62500000","NA","62500000"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan Jalan Bona RW 03 Kelurahan Penggilingan ","NA","90000000","NA","90000000"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan Jalan Orang Gang Swadaya RW 04 Kelurahan Pulo Gebang","NA","185000000","NA","185000000"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan Jalan Swadaya Rawa Buntu RW 14 Kelurahan Jatinegara","NA","180000000","NA","180000000"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan Jembatan RW 05 Kelurahan Rawa Terate","NA","120000000","NA","120000000"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan Jembatan Warga di Lingkungan RT 05 RW 03 Kelurahan Cakung Barat","NA","100000000","NA","100000000"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan jalan orang RW 05 Kel Penggilingan","NA","131102770","NA","131102770"
